1,20
1,15
1,19
1,30
1,48
1,22
3,45
3,90
3,47
3,83
3,92
3,72
2,34
2,83
2,29
2,30
2,29
2,19
1,20
1,15
1,19
1,30
1,48
1,22
3,45
3,90
3,47
3,83
3,92
3,72
2,34
2,83
2,29
2,30
2,29
2,19
1,20
1,15
1,19
1,30
1,48
1,22
3,45
3,90
3,47
3,83
3,92
3,72
2,34
2,83
2,29
2,30
2,29
2,19
1,20
1,15
1,19
1,30
1,48
1,22
3,45
3,90
3,47
3,83
3,92
3,72
2,34
2,83
2,29
2,30
2,29
2,19
1,20
1,15
1,19
1,30
1,48
1,22
3,45
3,90
3,47
3,83
3,92
3,72
2,34
2,83
2,29
2,30
2,29
2,19
1,20
1,15
1,19
1,30
1,48
1,22
3,45
3,90
3,47
3,83
3,92
3,72
2,34
2,83
2,29
2,30
2,29
2,19
